,e25c6b40324643c3afc1cf42981b11b5_mae_min,e25c6b40324643c3afc1cf42981b11b5_mae_mean,e25c6b40324643c3afc1cf42981b11b5_mae_max,e1d15a0615ca489aa6a17ec60247d0af_mae_min,e1d15a0615ca489aa6a17ec60247d0af_mae_mean,e1d15a0615ca489aa6a17ec60247d0af_mae_max,3f48868c52404eb0a833897aa4642871_mae_min,3f48868c52404eb0a833897aa4642871_mae_mean,3f48868c52404eb0a833897aa4642871_mae_max,1824682ae27c48669665cf042052d584_mae_min,1824682ae27c48669665cf042052d584_mae_mean,1824682ae27c48669665cf042052d584_mae_max,feda42500d2b45549be96f1bf62b0b03_mae_min,feda42500d2b45549be96f1bf62b0b03_mae_mean,feda42500d2b45549be96f1bf62b0b03_mae_max,e25c6b40324643c3afc1cf42981b11b5_mse_min,e25c6b40324643c3afc1cf42981b11b5_mse_mean,e25c6b40324643c3afc1cf42981b11b5_mse_max,e1d15a0615ca489aa6a17ec60247d0af_mse_min,e1d15a0615ca489aa6a17ec60247d0af_mse_mean,e1d15a0615ca489aa6a17ec60247d0af_mse_max,3f48868c52404eb0a833897aa4642871_mse_min,3f48868c52404eb0a833897aa4642871_mse_mean,3f48868c52404eb0a833897aa4642871_mse_max,1824682ae27c48669665cf042052d584_mse_min,1824682ae27c48669665cf042052d584_mse_mean,1824682ae27c48669665cf042052d584_mse_max,feda42500d2b45549be96f1bf62b0b03_mse_min,feda42500d2b45549be96f1bf62b0b03_mse_mean,feda42500d2b45549be96f1bf62b0b03_mse_max,e25c6b40324643c3afc1cf42981b11b5_msssim_min,e25c6b40324643c3afc1cf42981b11b5_msssim_mean,e25c6b40324643c3afc1cf42981b11b5_msssim_max,e1d15a0615ca489aa6a17ec60247d0af_msssim_min,e1d15a0615ca489aa6a17ec60247d0af_msssim_mean,e1d15a0615ca489aa6a17ec60247d0af_msssim_max,3f48868c52404eb0a833897aa4642871_msssim_min,3f48868c52404eb0a833897aa4642871_msssim_mean,3f48868c52404eb0a833897aa4642871_msssim_max,1824682ae27c48669665cf042052d584_msssim_min,1824682ae27c48669665cf042052d584_msssim_mean,1824682ae27c48669665cf042052d584_msssim_max,feda42500d2b45549be96f1bf62b0b03_msssim_min,feda42500d2b45549be96f1bf62b0b03_msssim_mean,feda42500d2b45549be96f1bf62b0b03_msssim_max,e25c6b40324643c3afc1cf42981b11b5_wasserstein_min,e25c6b40324643c3afc1cf42981b11b5_wasserstein_mean,e25c6b40324643c3afc1cf42981b11b5_wasserstein_max,e1d15a0615ca489aa6a17ec60247d0af_wasserstein_min,e1d15a0615ca489aa6a17ec60247d0af_wasserstein_mean,e1d15a0615ca489aa6a17ec60247d0af_wasserstein_max,3f48868c52404eb0a833897aa4642871_wasserstein_min,3f48868c52404eb0a833897aa4642871_wasserstein_mean,3f48868c52404eb0a833897aa4642871_wasserstein_max,1824682ae27c48669665cf042052d584_wasserstein_min,1824682ae27c48669665cf042052d584_wasserstein_mean,1824682ae27c48669665cf042052d584_wasserstein_max,feda42500d2b45549be96f1bf62b0b03_wasserstein_min,feda42500d2b45549be96f1bf62b0b03_wasserstein_mean,feda42500d2b45549be96f1bf62b0b03_wasserstein_max
10,1.2397807836532593,1.270716018974781,1.2992064952850342,1.4446887969970703,1.4761276245117188,1.5048296451568604,1.4240498542785645,1.4562998190522194,1.4849852323532104,1.389864444732666,1.4231914356350899,1.450284481048584,1.4612133502960205,1.4892856031656265,1.5179944038391113,3.058098793029785,3.2354193329811096,3.410334348678589,3.947387218475342,4.1318769454956055,4.332529067993164,3.835792064666748,4.026715397834778,4.217839241027832,3.702274799346924,3.8877836763858795,4.072406768798828,4.06535530090332,4.231635481119156,4.423720359802246,0.8291815519332886,0.8548673056066036,0.871399998664856,0.8199490308761597,0.842079434543848,0.8648257255554199,0.8165894746780396,0.839844211935997,0.8516335487365723,0.8284598588943481,0.849677462130785,0.8709648847579956,0.8095307350158691,0.8339111134409904,0.8493854999542236,2.5261194e-05,2.8568087e-05,3.196299e-05,77.09991,78.48884,79.70198,65.58218,66.67995,67.852104,47.589848,48.395084,49.427635,93.72958,95.925476,98.144714
11,1.2258248329162598,1.2572696954011917,1.2842893600463867,1.4417469501495361,1.4698771089315414,1.4979215860366821,1.4183226823806763,1.450797438621521,1.4795153141021729,1.3868703842163086,1.4178350865840912,1.4466743469238281,1.4294264316558838,1.4595126435160637,1.4909658432006836,3.0225582122802734,3.2002301812171936,3.3676538467407227,3.9220383167266846,4.087996065616608,4.2838592529296875,3.818507671356201,4.012755036354065,4.202844619750977,3.6760029792785645,3.855974420905113,4.050795555114746,3.876951217651367,4.0487962663173676,4.252829551696777,0.8343691229820251,0.8584122993052006,0.8757044076919556,0.8259863257408142,0.8446770906448364,0.8654965162277222,0.8228390216827393,0.8464488834142685,0.862394392490387,0.8287171125411987,0.84855155646801,0.8690711855888367,0.8057495951652527,0.8358859159052372,0.8515786528587341,2.9489398e-05,3.2879412e-05,3.6086887e-05,75.986374,77.56287,78.84657,59.78466,60.739872,61.704773,48.555492,49.341785,50.351364,107.31703,109.46141,112.479706
12,1.2224498987197876,1.2555430606007576,1.2823266983032227,1.4382388591766357,1.46739511936903,1.4956133365631104,1.4205577373504639,1.454739049077034,1.4844014644622803,1.379658818244934,1.4107054769992828,1.4401518106460571,1.4214656352996826,1.4494126364588737,1.4812417030334473,3.004779100418091,3.1794613897800446,3.3479795455932617,3.9213597774505615,4.099154934287071,4.296192646026611,3.814479351043701,4.010632157325745,4.205303192138672,3.645841360092163,3.8265742361545563,4.020540237426758,3.8461217880249023,4.007828772068024,4.216191291809082,0.8335976600646973,0.8614346496760845,0.8762416839599609,0.821983814239502,0.8442288674414158,0.8661794662475586,0.8158944845199585,0.8432390540838242,0.8572075963020325,0.8333807587623596,0.8536332882940769,0.872081995010376,0.8084527254104614,0.8368256092071533,0.8528515696525574,2.4084002e-05,2.69874e-05,3.0051917e-05,71.40699,72.56625,73.74021,63.567432,64.80955,65.91159,47.56055,48.45873,49.552498,104.50198,106.19466,109.065
13,1.2173913717269897,1.2482080608606339,1.2768174409866333,1.4325761795043945,1.4621505662798882,1.4886736869812012,1.4125100374221802,1.447199396789074,1.4753953218460083,1.389753818511963,1.4200844392180443,1.4472919702529907,1.4346520900726318,1.4665493369102478,1.4908673763275146,2.9970879554748535,3.161591798067093,3.3384056091308594,3.9022536277770996,4.0835795402526855,4.2722063064575195,3.7944769859313965,3.9944471418857574,4.183449745178223,3.6957595348358154,3.873526856303215,4.062941551208496,3.9561729431152344,4.152300149202347,4.330945014953613,0.8278408050537109,0.8591020219027996,0.8752133250236511,0.8248886466026306,0.8493210226297379,0.8708683848381042,0.8177396655082703,0.8478308618068695,0.8581255674362183,0.833428680896759,0.8522178344428539,0.8733614087104797,0.8131032586097717,0.8421869724988937,0.8568848967552185,2.6840717e-05,3.014761e-05,3.350526e-05,74.36955,75.8764,77.10701,59.14846,60.24235,61.179543,48.474873,49.279484,50.37054,95.7493,97.214615,99.10152
14,1.2152397632598877,1.2450332343578339,1.2732356786727905,1.4388383626937866,1.4693572744727135,1.4944157600402832,1.4073315858840942,1.4414341002702713,1.4689329862594604,1.382077932357788,1.4112412184476852,1.4390701055526733,1.414347767829895,1.449261613190174,1.4734554290771484,2.982113838195801,3.142831966280937,3.319181203842163,3.9321799278259277,4.123265653848648,4.305987358093262,3.7904677391052246,3.983671322464943,4.171270370483398,3.6583900451660156,3.832701697945595,4.022485733032227,3.866300582885742,4.076175838708878,4.252255439758301,0.829992413520813,0.8579193130135536,0.8735268712043762,0.8274071216583252,0.8527216054499149,0.8746405839920044,0.8230419158935547,0.8498791456222534,0.8603131771087646,0.8378915190696716,0.8581831678748131,0.8795425891876221,0.8195974826812744,0.8455792181193829,0.8597186207771301,2.7429312e-05,3.0970434e-05,3.4093857e-05,70.087616,71.53817,72.70221,60.468575,61.57927,62.602997,49.783344,50.647026,51.781494,87.574036,89.9046,91.86368
15,1.2205058336257935,1.2523686736822128,1.279131531715393,1.4296513795852661,1.4626244232058525,1.486868143081665,1.403950572013855,1.4371972978115082,1.4657857418060303,1.3781887292861938,1.405663214623928,1.4358136653900146,1.4492583274841309,1.474890761077404,1.5013225078582764,2.9991884231567383,3.1746906638145447,3.339778423309326,3.8867995738983154,4.104957565665245,4.280918121337891,3.7662906646728516,3.9529054760932922,4.144775867462158,3.6402289867401123,3.8089247047901154,4.008711338043213,4.07004451751709,4.224950909614563,4.419073581695557,0.830007791519165,0.8592129349708557,0.8767797946929932,0.8264772295951843,0.8547889813780785,0.8738508820533752,0.8222416639328003,0.8530590124428272,0.8656907677650452,0.8389267921447754,0.8585949055850506,0.8806062340736389,0.8224185109138489,0.8510042726993561,0.8664767742156982,2.2102147e-05,2.5179004e-05,2.8327107e-05,66.11273,67.30328,68.38721,57.097095,58.0149,58.838173,48.11676,48.960686,50.028675,90.05732,91.58868,93.63396
16,1.2096699476242065,1.2407239526510239,1.2669155597686768,1.4270333051681519,1.460021510720253,1.4861167669296265,1.3973395824432373,1.4306089356541634,1.4573032855987549,1.3715497255325317,1.402969628572464,1.4309277534484863,1.4330209493637085,1.4668108373880386,1.4895009994506836,2.960737943649292,3.130846604704857,3.2967071533203125,3.88079833984375,4.091538846492767,4.274550914764404,3.733982563018799,3.9327662140130997,4.116274833679199,3.611767053604126,3.793861225247383,3.980332612991333,3.9765682220458984,4.172859579324722,4.350606918334961,0.8290693163871765,0.861314233392477,0.8760244846343994,0.8218994140625,0.8537120446562767,0.8674599528312683,0.825958788394928,0.8535093925893307,0.8663290739059448,0.8406111001968384,0.86009731143713,0.8797163367271423,0.8210830092430115,0.8481837324798107,0.8624805212020874,1.9684434e-05,2.285419e-05,2.6226044e-05,64.92614,66.00723,66.97975,58.385273,59.47919,60.387913,44.95858,45.642113,46.560898,85.805984,87.24442,88.9955
17,1.2095986604690552,1.241076722741127,1.2698147296905518,1.4203531742095947,1.4505374282598495,1.4755628108978271,1.394179105758667,1.4279260337352753,1.4538661241531372,1.3764766454696655,1.4088705033063889,1.4369235038757324,1.442293643951416,1.4687386974692345,1.4974474906921387,2.9530622959136963,3.119688466191292,3.2916738986968994,3.8825392723083496,4.057551309466362,4.236819267272949,3.7331857681274414,3.9276858419179916,4.1075239181518555,3.6219708919525146,3.8254035264253616,4.010757923126221,4.000973224639893,4.164847761392593,4.370854377746582,0.8264447450637817,0.8587705828249454,0.8741368055343628,0.8302642703056335,0.8592312298715115,0.8709153532981873,0.8292583227157593,0.8578843101859093,0.8705785274505615,0.8412403464317322,0.8604927957057953,0.882689893245697,0.8156702518463135,0.8531122915446758,0.8682846426963806,2.9478222e-05,3.2667536e-05,3.618002e-05,64.507,65.87125,67.03786,57.68139,58.762184,59.861626,48.178288,49.056553,50.134968,90.44217,91.70509,93.311386
18,1.2027229070663452,1.2317988723516464,1.259178638458252,1.4238038063049316,1.4566196650266647,1.4826478958129883,1.4003602266311646,1.4329777359962463,1.4597587585449219,1.369762897491455,1.3998832032084465,1.42681086063385,1.4880846738815308,1.5179344862699509,1.5365843772888184,2.9335200786590576,3.092706635594368,3.2628517150878906,3.881131172180176,4.081831574440002,4.2713823318481445,3.7653865814208984,3.957300439476967,4.146060943603516,3.5953352451324463,3.7814668715000153,3.964834690093994,4.306430816650391,4.488665848970413,4.656026840209961,0.8282455801963806,0.8605379797518253,0.8761877417564392,0.8273352980613708,0.862973541021347,0.8799040913581848,0.8300760984420776,0.8596041575074196,0.8761520385742188,0.8424562811851501,0.861629843711853,0.8814900517463684,0.8246715068817139,0.8619510158896446,0.8750959634780884,2.8770417e-05,3.1929463e-05,3.4894794e-05,63.54221,64.66409,65.671616,54.916855,55.889374,56.772198,46.34635,47.056625,48.060654,85.75745,86.89125,88.51874
19,1.1993986368179321,1.2286694794893265,1.2577102184295654,1.420584797859192,1.451454296708107,1.4752998352050781,1.399084448814392,1.4315188452601433,1.4568918943405151,1.3614294528961182,1.3914730176329613,1.4192898273468018,1.4141809940338135,1.4446988329291344,1.4699974060058594,2.9249331951141357,3.0835535526275635,3.2617740631103516,3.9009900093078613,4.088930681347847,4.26949405670166,3.7558681964874268,3.9449268728494644,4.1281938552856445,3.5559897422790527,3.732660710811615,3.921281099319458,3.9463443756103516,4.111184507608414,4.314617156982422,0.8311157822608948,0.8600120209157467,0.8743770122528076,0.830116331577301,0.8654466420412064,0.8833402395248413,0.831092894077301,0.8622045628726482,0.8774964809417725,0.843371570110321,0.8626442439854145,0.8786222338676453,0.8330773115158081,0.8611943237483501,0.8726959824562073,2.559647e-05,2.8547132e-05,3.1799078e-05,58.325184,59.16078,60.059727,50.760765,51.52602,52.28059,44.791622,45.42798,46.33623,90.99285,92.70318,94.66539
